 ID       ,, Summary                                                       ,, Category                      ,, Status    ,, Resolution           ,, Severity      ,, Priority  ,, Assignee              ,, Opened               ,, Changed              ,, Found In                                      ,, Fix By                                                        ,, Bug Type       ,, Build      ,, Branch                                    ,, Reopened  ,, Regression  ,, Resolved             ,, Closed               
 1481433 ,, We have to unify terminology which are using while an ap...  ,, Usability                    ,, closed   ,, wont fix            ,, minor        ,, P2       ,, ljian                ,, 2015-07-14 13:40:05 ,, 2017-11-05 01:24:27 ,, MARVIN 2.0 sprint 6                          ,, MARVIN VxRail_4.5                                            ,, Defect        ,, 2896616   ,, 2.0.0                                    ,, 0        ,, Unknown    ,, 2016-11-21 14:19:26 ,, 2016-11-21 14:46:28 
 1481570 ,, The appliance configuration and Management UI should be ...  ,, Configuration                ,, closed   ,, fixed               ,, serious      ,, P1       ,, frankli              ,, 2015-07-14 16:31:20 ,, 2017-08-13 01:23:06 ,, MARVIN 2.0 alpha                             ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,, 2896616   ,, 2.0.0                                    ,, 0        ,, No         ,, 2016-12-18 12:04:50 ,, 2016-12-19 11:49:53 
 1486325 ,, Password confirmation fields show as valid when original...  ,, Configuration                ,, closed   ,, fixed               ,, minor        ,, P2       ,, ntenczar             ,, 2015-07-22 14:03:32 ,, 2016-12-18 01:22:56 ,, MARVIN 2.0                                   ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,, 2918707   ,, 2.0.0                                    ,, 0        ,, No         ,, 2016-09-21 03:50:26 ,, 2016-10-14 09:43:09 
 1503639 ,, Redirection doesn't work immediately in IE10 and IE11        ,, Usability                    ,, closed   ,, unable to duplicate ,, serious      ,, P1       ,, royl1                ,, 2015-08-21 10:36:38 ,, 2018-08-12 01:27:15 ,, MARVIN 2.0 RTM                               ,, MARVIN VxRail_4.5                                            ,, Defect        ,, 3003381   ,, 2.0.0                                    ,, 1        ,, Unknown    ,, 2016-12-14 09:17:08 ,, 2016-12-14 09:17:29 
 1528579 ,, The UI doesn't show the incompleate configuration            ,, Configuration                ,, closed   ,, fixed               ,, minor        ,, P2       ,, royl1                ,, 2015-10-07 10:55:47 ,, 2018-03-04 01:23:40 ,, MARVIN 2.0 RTM                               ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,,           ,,                                          ,, 0        ,, No         ,, 2016-11-27 21:13:56 ,, 2016-12-09 09:10:42 
 1530285 ,, [EV-185] [Qualys Guard] OpenSSH AES-GCM Cipher Remote Co...  ,, Unknown                      ,, closed   ,, fixed               ,, critical     ,, P1       ,, newmanc              ,, 2015-10-09 17:55:32 ,, 2016-11-14 14:38:45 ,, MARVIN 2.0 sprint 10                         ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,, 3135167   ,, 2.0.0                                    ,, 2        ,, Unknown    ,, 2016-11-13 20:20:19 ,, 2016-11-14 14:38:44 
 1580391 ,, Marvin wizard steps should be disabled while validation ...  ,, Configuration                ,, closed   ,, fixed               ,, serious      ,, P3       ,, ljian                ,, 2016-01-05 09:41:28 ,, 2017-11-05 01:24:36 ,, MARVIN 2.0.1 Development                     ,, MARVIN VxRail_4.5 Dev_triage, MARVIN VxRail_4.0.300 Development,, Defect        ,, 3388810   ,, 2.0.1                                    ,, 1        ,, Yes        ,, 2017-04-25 21:00:12 ,, 2017-04-27 18:26:15 
 1587022 ,, [UI] ip-jump page scallability is not working                ,, Configuration                ,, closed   ,, duplicate           ,, critical     ,, P1       ,, ljian                ,, 2016-01-14 15:31:30 ,, 2017-11-05 01:24:36 ,, MARVIN 2.0.1 Development                     ,, MARVIN VxRail_4.5                                            ,, Defect        ,, 3437626   ,, 2.0.1                                    ,, 0        ,, Unknown    ,, 2016-11-23 23:48:07 ,, 2017-04-18 11:14:48 
 1590905 ,, We should distinguish the errors and display the corresp...  ,, Usability                    ,, closed   ,, fixed               ,, serious      ,, P1       ,, charliec             ,, 2016-01-21 12:22:45 ,, 2018-03-04 01:23:40 ,, MARVIN 2.0.1 Development                     ,, MARVIN VxRail_4.5                                            ,, Defect        ,, 3460811   ,, 2.0.1                                    ,, 0        ,, Unknown    ,, 2017-05-31 12:07:31 ,, 2017-05-31 12:41:18 
 1592870 ,, The white background when scrolling down the welcome pag...  ,, Usability                    ,, closed   ,, fixed               ,, minor        ,, P2       ,, ljian                ,, 2016-01-25 13:47:24 ,, 2018-08-12 01:27:09 ,, MARVIN 2.0.1 Development                     ,, MARVIN VxRail_4.5.200 , MARVIN VxRail_4.5.150 , MARVIN VxRail_4.0.400 ,, Defect        ,,           ,,                                          ,, 2        ,, Unknown    ,, 2017-11-06 15:51:19 ,, 2017-11-06 15:51:34 
 1593042 ,, [FR] [c0] Warning "registration/unregistration of a vasa...  ,, Management                   ,, closed   ,, wont fix            ,, serious      ,, P2       ,, sarahx               ,, 2016-01-25 18:16:18 ,, 2018-07-20 15:20:13 ,, MARVIN 2.0.1                                 ,, MARVIN VxRail_4.5.200                                        ,, Feature       ,, 3447723   ,, 2.0.1                                    ,, 1        ,, No         ,, 2017-11-09 10:49:05 ,, 2017-11-09 10:49:26 
 1597965 ,, Stalled input is still preserved on VxRail Config forms      ,, Usability                    ,, closed   ,, duplicate           ,, serious      ,, P1       ,, royl1                ,, 2016-02-01 16:50:25 ,, 2016-12-06 16:58:16 ,, MARVIN 2.0.1 Development                     ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,,           ,,                                          ,, 0        ,, No         ,, 2016-11-09 17:56:45 ,, 2016-12-06 16:58:16 
 1604590 ,, Need to remove OVF entries from configuration json file...   ,, Configuration                ,, closed   ,, wont fix            ,, minor        ,, P3       ,, frankli              ,, 2016-02-11 10:33:12 ,, 2017-03-25 22:53:24 ,, MARVIN Ghent-VxRail_3.5 CD0(1/4-1/15)        ,, MARVIN VxRail_4.0.300 Development, MARVIN VxRail_4.5 Dev_triage,, Defect        ,,           ,,                                          ,, 1        ,, No         ,, 2017-03-24 10:19:41 ,, 2017-03-25 22:53:23 
 1605447 ,, Mystic Manager completely broken by PSC integration          ,, Configuration                ,, closed   ,, wont fix            ,, serious      ,, P2       ,, frankli              ,, 2016-02-12 13:21:43 ,, 2018-03-04 01:23:40 ,, MARVIN Ghent-VxRail_3.5 CD4 (3/21 – 4/8)   ,, MARVIN VxRail_5.0                                            ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-10-09 16:33:39 ,, 2018-02-12 19:27:26 
 1614232 ,, [Steve]Need to update error message when fail to deploy ...  ,, Management                   ,, closed   ,, not a bug           ,, serious      ,, P3       ,, binbinw              ,, 2016-02-26 15:21:57 ,, 2018-08-05 01:22:36 ,, MARVIN 2.0.1 RTM                             ,, MARVIN VxRail_5.0                                            ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-10-13 09:41:52 ,, 2017-10-13 09:42:15 
 1631344 ,, [SR] [ST H5C MxN] [Will be Resolved with Virgo Removal] ...  ,, UI Platform (Flex)           ,, closed   ,, wont fix            ,, catastrophic ,, P1       ,, pivanov              ,, 2016-03-27 16:48:00 ,, 2019-03-24 01:22:37 ,, vSphere layer1 L1-9                          ,, vSphere cloud M7, VC main , MARVIN VxRail_4.7.100 , Skyscraper 2017 , Internal NA , vSphere 6.7 U2 ,, Defect        ,, 6959793   ,, vim-main                                 ,, 5        ,, No         ,, 2018-11-21 07:23:13 ,, 2019-01-10 02:41:33 
 1638641 ,, [VXRAIL] OpenSSH 7.4 issues resolved                         ,, Unknown                      ,, closed   ,, duplicate           ,, critical     ,, P1       ,, libi                 ,, 2016-04-07 11:45:32 ,, 2017-04-18 07:56:52 ,, MARVIN Ghent-VxRail_3.5 CD4 (3/21 – 4/8)   ,, MARVIN VxRail_4.0.300 Development, MARVIN VxRail_4.5 Dev_triage,, Defect        ,,           ,,                                          ,, 0        ,, No         ,, 2017-03-24 12:04:11 ,, 2017-04-18 07:56:52 
 1639356 ,, 508 compliance issues/improvements                           ,, Management                   ,, closed   ,, fixed               ,, serious      ,, P1       ,, ljian                ,, 2016-04-08 15:36:26 ,, 2017-06-26 15:53:52 ,, MARVIN Ghent-VxRail_3.5                      ,, MARVIN VxRail_4.5                                            ,, Defect        ,, 3744330   ,, vxrail35                                 ,, 0        ,, Unknown    ,, 2017-02-23 19:00:40 ,, 2017-06-26 15:53:51 
 1647390 ,, UI session to VxRAIL Manager did not time out overnight      ,, Usability                    ,, closed   ,, fixed               ,, critical     ,, P1       ,, royl1                ,, 2016-04-22 10:13:22 ,, 2018-03-04 01:23:42 ,, MARVIN Ghent-VxRail_3.5 CD5 (4/11 – 4/29)  ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,, 3791487   ,, master                                   ,, 0        ,, Yes        ,, 2016-12-12 21:37:34 ,, 2017-04-25 09:49:51 
 1649858 ,, "VM Network" still exists after first run finished           ,, Configuration                ,, closed   ,, unable to duplicate ,, serious      ,, P3       ,, jye                  ,, 2016-04-27 05:31:14 ,, 2018-08-05 01:22:41 ,, MARVIN Ghent-VxRail_3.5                      ,, MARVIN VxRail_4.5                                            ,, Defect        ,, 3816962   ,, vxrail35                                 ,, 0        ,, Unknown    ,, 2017-04-07 01:24:41 ,, 2017-04-18 11:12:41 
 1661772 ,, Display additional cluster info on the page (number of n...  ,, Management                   ,, closed   ,, fixed               ,, serious      ,, P1       ,, ljian                ,, 2016-05-18 15:29:06 ,, 2018-09-02 01:26:13 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5 CD9 (06/05 - 06/23)                        ,, Feature       ,,           ,,                                          ,, 0        ,, No         ,, 2017-06-06 10:53:00 ,, 2017-06-09 08:15:29 
 1662668 ,, We need to bump up both VC and ESXi build numbers in com...  ,, Documentation                ,, closed   ,, fixed               ,, serious      ,, P1       ,, lkenley              ,, 2016-05-19 16:03:35 ,, 2018-11-09 10:55:09 ,, MARVIN Ghent-VxRail_3.5 CD6 (5/2 – 5/13)   ,, MARVIN VxRail_4.5.200                                        ,, Documentation ,,           ,,                                          ,, 0        ,, Unknown    ,, 2018-11-09 10:51:32 ,, 2018-11-09 10:55:09 
 1662771 ,, The Configuration stops at 12-14% because of significant...  ,, Configuration                ,, closed   ,, fixed               ,, critical     ,, P1       ,, vickys               ,, 2016-05-19 19:45:28 ,, 2018-03-04 01:23:42 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,, 3906241   ,, vxrail35                                 ,, 1        ,, No         ,, 2017-03-31 18:39:47 ,, 2017-06-09 08:15:29 
 1664222 ,, Build process starts w/o pressing Validate & Build butttons  ,, Configuration                ,, closed   ,, wont fix            ,, critical     ,, P2       ,, vxrail-guru          ,, 2016-05-23 15:05:15 ,, 2018-06-07 03:58:38 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,, 3918761   ,, vxrail35                                 ,, 0        ,, Unknown    ,, 2017-05-31 12:14:18 ,, 2017-06-22 22:22:05 
 1664932 ,, Unable to pass validation after manual edit incorrect va...  ,, Configuration                ,, closed   ,, unable to duplicate ,, critical     ,, P1       ,, smunot               ,, 2016-05-24 08:23:52 ,, 2017-05-17 18:28:18 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,, 3920254   ,, vxrail35                                 ,, 0        ,, Unknown    ,, 2017-05-17 18:28:04 ,, 2017-05-17 18:28:18 
 1665162 ,, [External VC] Username field passes initial validation a...  ,, Configuration                ,, closed   ,, not a bug           ,, serious      ,, P1       ,, vxrail-guru          ,, 2016-05-24 16:38:53 ,, 2018-06-07 03:58:38 ,, MARVIN Ghent-VxRail_3.5                      ,, MARVIN VxRail_4.0.100                                        ,, Documentation ,, 3924318   ,, master                                   ,, 2        ,, No         ,, 2016-11-08 11:18:07 ,, 2016-12-05 14:32:15 
 1665461 ,, VM VC/PSC should be renamed or deleted after join to ext...  ,, Management                   ,, closed   ,, fixed               ,, minor        ,, P2       ,, ljian                ,, 2016-05-25 02:46:47 ,, 2018-08-05 01:22:42 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5                                            ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-07-14 00:25:12 ,, 2017-07-19 23:45:37 
 1665489 ,, Market instance could not be open console with Safari        ,, Management                   ,, closed   ,, not a bug           ,, serious      ,, P2       ,, royl1                ,, 2016-05-25 03:18:08 ,, 2018-08-12 01:27:15 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5.200                                        ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-09-04 00:45:09 ,, 2017-12-25 19:18:32 
 1666896 ,, [security enhancement]“Session Identifier Not Update” po ,, Release Readiness            ,, closed   ,, not a bug           ,, minor        ,, P2       ,, royl1                ,, 2016-05-26 19:54:57 ,, 2018-08-05 01:22:42 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Feature       ,, 3898518   ,, vxrail35                                 ,, 0        ,, Unknown    ,, 2017-02-28 19:43:57 ,, 2017-04-18 11:17:29 
 1667699 ,, Most of 'js' files contain incorrect year in Copyright info  ,, Release Readiness            ,, closed   ,, wont fix            ,, serious      ,, P1       ,, qiaochuw             ,, 2016-05-28 10:51:23 ,, 2018-09-02 01:26:13 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,, 3936871   ,, vxrail35                                 ,, 1        ,, No         ,, 2017-08-21 11:50:44 ,, 2017-08-21 12:08:19 
 1669622 ,, [External VC] "Read Only" permission has unrestricted as...  ,, Feature Requests             ,, closed   ,, wont fix            ,, critical     ,, P1       ,, xiangh               ,, 2016-06-01 15:57:10 ,, 2017-11-10 11:17:10 ,, MARVIN Ghent-VxRail_3.5 GA(6/9/16)           ,, MARVIN VxRail_4.5.150 Development                            ,, Feature       ,, 3936871   ,, vxrail35                                 ,, 3        ,, Unknown    ,, 2017-11-10 11:16:49 ,, 2017-11-10 11:17:09 
 1669626 ,, [SR] VC password field validation must reject password t...  ,, Configuration                ,, closed   ,, not a bug           ,, critical     ,, P1       ,, frankli              ,, 2016-06-01 16:04:27 ,, 2018-07-01 01:24:18 ,, MARVIN VxRail_4.0.300 Development            ,, MARVIN Nicias-VxRail_4.0 Dev_Triage, MARVIN VxRail_4.0.300 Development, MARVIN Nicias-VxRail_4.0 CD0 (6/13-7/1),, Defect        ,, 3936871   ,, vxrail35                                 ,, 3        ,, Yes        ,, 2017-05-01 10:01:58 ,, 2017-05-08 14:37:44 
 1671649 ,, [precheck] validation passed when input wrong gateway        ,, Configuration                ,, closed   ,, unable to duplicate ,, serious      ,, P1       ,, frankli              ,, 2016-06-06 05:29:00 ,, 2018-08-05 01:22:43 ,, MARVIN Ghent-VxRail_3.5 CD7 (5/16 – 5/27)  ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-06-08 03:45:34 ,, 2017-06-08 03:45:55 
 1684530 ,, New version of Log Insight 4.x has been released             ,, Unknown                      ,, closed   ,, fixed               ,, critical     ,, P1       ,, dmace                ,, 2016-06-28 13:01:12 ,, 2017-06-06 11:50:24 ,, MARVIN Nicias-VxRail_4.0 Dev_Triage          ,, MARVIN VxRail_4.5 , MARVIN VxRail_4.5 CD5 (03/13 - 03/31)    ,, Defect        ,,           ,,                                          ,, 0        ,, No         ,, 2017-05-31 12:21:32 ,, 2017-06-06 11:50:23 
 1688667 ,, Flagged script parameter's not handling empty/null param...  ,, Configuration                ,, closed   ,, fixed               ,, minor        ,, P2       ,, vxrail-guru          ,, 2016-07-06 08:07:20 ,, 2019-02-03 01:21:30 ,, MARVIN Nicias-VxRail_4.0 CD1 (7/5-7/22)      ,, MARVIN VxRail_4.5.150                                        ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-11-07 18:01:41 ,, 2017-11-13 08:01:28 
 1691255 ,, [FR] implement automatic password rotation process for a...  ,, Management                   ,, closed   ,, wont fix            ,, serious      ,, P2       ,, frankli              ,, 2016-07-11 13:58:32 ,, 2018-03-04 01:23:43 ,, MARVIN 2.0.1 RTM                             ,, MARVIN VxRail_4.5                                            ,, Feature       ,,           ,,                                          ,, 0        ,, Unknown    ,, 2016-11-24 18:32:18 ,, 2017-04-18 11:01:48 
 1691345 ,, [FR] VXRAIL should provide abity to change IP addresses ...  ,, Management                   ,, closed   ,, not a bug           ,, serious      ,, P1       ,, frankli              ,, 2016-07-11 16:58:36 ,, 2018-03-04 01:23:43 ,, MARVIN 2.0.1 RTM                             ,, MARVIN VxRail_5.0 , MARVIN future                            ,, Feature       ,,           ,,                                          ,, 0        ,, No         ,, 2017-07-31 08:54:53 ,, 2017-07-31 08:55:09 
 1691514 ,, [External VC] Appliance validation fails against externa...  ,, Configuration                ,, closed   ,, unable to duplicate ,, serious      ,, P1       ,, vxrail-guru          ,, 2016-07-11 23:28:24 ,, 2018-06-07 03:58:39 ,, MARVIN Ghent-VxRail_3.5 GA(6/9/16)           ,, MARVIN VxRail_4.0.100                                        ,, Defect        ,, 3936871   ,, vxrail35                                 ,, 0        ,, No         ,, 2016-11-09 17:10:38 ,, 2016-12-06 16:55:22 
 1693009 ,, [SR] [EMC PR 11124] Generic error: "There was a network ...  ,, Configuration                ,, closed   ,, wont fix            ,, serious      ,, P1       ,, ntenczar             ,, 2016-07-13 17:26:22 ,, 2019-02-05 12:11:44 ,, MARVIN Ghent-VxRail_3.5 GA(6/9/16)           ,, MARVIN VxRail_4.5 Dev_triage                                 ,, Defect        ,, 3936871   ,, vxrail35                                 ,, 0        ,, Unknown    ,, 2017-06-02 10:13:35 ,, 2017-06-23 08:57:14 
 1702537 ,, VxRail Manager authentication with AD is not working         ,, Configuration                ,, closed   ,, fixed               ,, serious      ,, ---      ,, frankli              ,, 2016-07-29 00:01:11 ,, 2018-08-05 01:22:43 ,, MARVIN Ghent-VxRail_3.5 GA(6/9/16)           ,, MARVIN VxRail_4.0.400 Development                            ,, Defect        ,,           ,,                                          ,, 0        ,, Unknown    ,, 2017-10-20 01:28:20 ,, 2017-10-20 11:02:16 
